NO2 Mean,O3 Mean,SO2 Mean,CO Mean,AirQualityCategory
1.8196476325598143,5.006993889549131,1.0687912848814614,1.9239730043939176,Moderate
1.826732548637247,2.9285781895817338,1.3828569358725225,1.059933409985945,Moderate
2.905344896015898,2.924602715522228,1.0333129700738437,2.07380652935878,Moderate
3.7200851556402874,1.6625790099176507,1.1557309071123203,2.2036630501071275,Moderate
2.12063302210658,4.865012673138205,1.0279828993392923,1.419533869901615,Bad
2.3684551941034213,4.821661075060737,1.0,1.6342956552406505,Bad
1.6422812549602122,5.9496545123734,1.1787407695297318,1.3596004599156697,Bad
1.9730614225785337,5.377754172670193,1.0255495903614458,1.389567164908642,Bad
2.245069918793503,2.5459861384264277,1.0097331799455889,1.4944506323840456,Good
1.914682795067942,6.048189476562582,1.0343426568208318,1.0,Bad
2.912472251030225,6.45046958972687,1.0474492592304705,1.5244173373770182,Bad
1.9029561041434315,3.425512447019972,1.4617178390983288,1.389567164908642,Moderate
2.4726783864492603,5.216084894250287,1.15507190983288,1.604328950247678,Moderate
2.405494195507927,6.107348316733801,1.1755290882238632,1.0899001149789174,Moderate
1.6584054711056306,4.26556797745128,1.2542794030314808,1.5094339848805318,Moderate
1.725589726543829,2.908890127572752,1.2075398460940536,1.0,Good
2.620483722614551,1.4890779634635003,1.282160892343568,1.604328950247678,Good
1.072558972654383,5.365922404635949,1.0,1.2397336399437795,Moderate
1.8384592395617576,5.630196775448819,1.0241670392537894,1.6243059544641931,Bad
2.0749477645268493,3.0665839319331534,1.079284872133696,1.2647054945485237,Good
2.3383099400697285,4.841349137069718,1.041974349008939,1.449500574894587,Moderate
2.676918479123516,5.046464667711368,1.457054013214147,1.8540510922997155,Bad
1.0,3.224372390437828,1.0,1.11986681997189,Good
2.530334713573402,3.3860416688577346,1.0304162083171395,1.4594890770028446,Bad
1.247237959397461,2.766908911161827,1.2518460940536338,1.4794672798875594,Moderate
3.515377718685273,1.855862772525057,1.3218033424018656,1.908989651897432,Moderate
1.4054088446571302,4.040764384800648,1.0,1.349611957807412,Good
4.5445233573137696,1.9110461386367696,1.192230345899728,2.47336339504388,Bad
1.8411466304182824,5.314619858439468,1.1422463956471045,1.0899001149789174,Bad
3.59950407500865,3.046895869924171,1.10828164788185,2.223640054323643,Moderate
3.407882922883529,2.8812511174447586,1.2646715802565098,1.7491676248243118,Moderate
1.658989683705011,5.196302178097031,1.1119315973571706,1.5643725444782484,Good
4.704363421428813,1.354953041027313,1.0389327197823552,2.1836848472224126,Bad
3.17045970935692,4.0447398588601535,1.0206830003886511,1.4644839273910732,Moderate
3.773365177011968,1.3273140308993194,1.059615748153906,2.5133186021451097,Moderate
1.518662307509914,4.809829307026492,1.655266235522736,1.589345597751192,Bad
1.314422214835659,8.174026902811228,1.0,1.0649282603741737,Bad
3.0128396273207776,4.5850257143758615,1.138748533229693,1.5593788927582195,Bad
1.365482254128439,3.3978734368919787,1.037310523124757,1.918979352673889,Good
1.722902335687304,6.127131032887056,1.0513019727944035,1.1448386745766337,Bad
1.6315318205278428,5.843168600065206,1.0209871745044694,1.1897887320660925,Bad
1.8384592395617576,1.7690649222258448,1.0,1.1897887320660925,Good
1.2633621755428792,4.107779518946605,1.036144587640886,1.3246389045344684,Good
4.224843229083684,1.855862772525057,1.2457628635833655,3.672031594762778,Moderate
1.1397432280925812,5.436913012841412,1.02215313797124,1.1448386745766337,Moderate
3.456255571319784,4.7151751627525424,1.1737271574038088,2.363485077180248,Moderate
1.6073454963097151,4.001293606638411,1.0,1.374583812412156,Good
1.0276414857506324,4.381708612475416,1.0013325176836378,1.0,Good
2.754852168994083,3.153381782232365,1.0629615235134084,1.9039960001774028,Moderate
1.3520453643426806,3.563518189371391,1.0093276237854645,1.034961555381201,Good
1.975865617256816,5.101648033823081,1.0852206607073456,1.6992227169466243,Moderate
1.6870318239784252,3.804129024115772,1.0559657986785853,1.669256011953652,Good
2.0936425032101704,4.853180905103962,1.0279828993392923,1.2796888470450098,Bad
3.0665870574700818,3.426175026029889,1.6902448596968518,1.4594890770028446,Bad
3.206914433665179,2.845755813342027,1.015816410415857,2.5482801575263108,Moderate
1.6029054676550485,4.060452446809629,1.103027942479596,1.2097669349508071,Moderate
